databaseId,idCode,forename,surname,phone,streetAddress,apartment,postalCode,city,email
1,010181-1229,Maija,Meikäläinen,0406664321,Katu 1,A 1,33400,Tampere,maija.meikalainen@email.com
2,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
3,010181-123A,Matti,Meikäläinen,0406661233,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
4,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
5,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
6,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
7,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
8,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
9,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
10,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
11,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
12,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
13,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
14,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
15,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
16,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
17,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
18,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
19,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
20,010181-123A,Matti,Meikäläinen,0406661234,Katu 1,A 1,33400,Tampere,matti.meikalainen@email.com
